target,model,base_model,residual_model,mean_RMSE,mean_MAE,mean_MAPE,mean_NRMSE
Brent Oil,PatchTST+XGB,PatchTST,XGB,6.209068011994188,5.392215167164879,7.120492142681168,8.214839234430093
Brent Oil,PatchTST+LGBM,PatchTST,LGBM,6.3522541056687984,5.544062932374335,7.3514732078784455,8.419496510220656
Brent Oil,PatchTST+NLinear,PatchTST,NLinear,7.393530789526404,6.690524764295103,8.69173495645939,9.657514701428811
Brent Oil,PatchTST,PatchTST,-,7.959819267681778,7.288149140145438,9.466636389589913,10.380809309795612
WTI Oil,PatchTST+XGB,PatchTST,XGB,5.61028908230906,4.87549326270048,6.94255332365206,7.953391691930613
WTI Oil,PatchTST+LGBM,PatchTST,LGBM,5.942199798973404,5.0946752554072035,7.247170568801082,8.422957856917579
WTI Oil,PatchTST+NLinear,PatchTST,NLinear,6.892878789855125,6.317640467781188,8.813961217986751,9.626468933790674
WTI Oil,PatchTST,PatchTST,-,7.455156937671844,6.794459384380521,9.528486918685305,10.441400263097362
