Target,Base Model,Residual Model,RMSE,MAE,MAPE,NRMSE
Brent Oil,PatchTST,XGB,4.298499181692271,3.723872063385899,5.061842438722315,5.773830521107443
Brent Oil,PatchTST,LGBM,4.915709613219806,4.303811133937604,5.874458303554913,6.61759440225368
Brent Oil,PatchTST,NLinear,5.887369301440465,5.354220966310653,7.235618730601701,7.891823375816614
Brent Oil,PatchTST,-,7.468634762810972,6.945749348138476,9.433477577147547,10.04349674658648
WTI Oil,PatchTST,XGB,4.355208117961772,3.68596175794773,5.160360390990834,6.105432743817954
WTI Oil,PatchTST,NLinear,4.718831104818915,4.115830589432489,5.709312785722201,6.580861637979701
WTI Oil,PatchTST,LGBM,4.8636235912455135,4.05890522140186,5.677238274299061,6.804218318796816
WTI Oil,PatchTST,-,6.353019767823614,5.77718273504449,8.202198474736424,8.934918194473036
