target,model,base_model,residual_model,mean_RMSE,mean_MAE,mean_MAPE,mean_NRMSE
Brent Oil,PatchTST,PatchTST,-,4.643462271480049,4.025698320621308,5.422959274273954,6.2248588390615
Brent Oil,PatchTST+NLinear,PatchTST,NLinear,5.420951613704276,4.755439963015791,6.41331339998066,7.282781250134911
Brent Oil,PatchTST+LGBM,PatchTST,LGBM,5.498579785496975,4.698817363569208,6.315019801433359,7.364458312626959
Brent Oil,PatchTST+XGB,PatchTST,XGB,5.535778089274612,4.81551858848714,6.470438034843966,7.411031212322114
WTI Oil,PatchTST,PatchTST,-,4.565903138653222,3.913500736980337,5.502351139694884,6.39198089562193
WTI Oil,PatchTST+NLinear,PatchTST,NLinear,5.585888108080699,4.897470514049956,6.896552836614593,7.843461607898309
WTI Oil,PatchTST+XGB,PatchTST,XGB,6.566141679533772,5.786870991629464,7.995191820568022,9.05764829192484
WTI Oil,PatchTST+LGBM,PatchTST,LGBM,6.768389758075242,5.885308544719556,8.188016755073404,9.38797429405325
