Target,Base Model,Residual Model,RMSE,MAE,MAPE,NRMSE
Brent Oil,PatchTST,-,4.178721087416879,3.5475066265604736,4.786388021679119,5.595926078141173
Brent Oil,PatchTST,XGB,12.40072924328157,11.809428637736367,15.4711545894933,16.140879595045515
Brent Oil,PatchTST,NLinear,12.422620854655603,11.688638198114374,15.307060258627985,16.15266640919374
Brent Oil,PatchTST,LGBM,12.89329595060101,12.239792981786934,16.037628013180782,16.788879054839022
WTI Oil,PatchTST,-,4.4346395181774,3.814897768964213,5.378859069521738,6.230049077994935
WTI Oil,PatchTST,NLinear,12.305305031385119,11.514123414631536,15.952270887331041,16.898608693799247
WTI Oil,PatchTST,XGB,12.649237153197872,12.001376931066645,16.656354582366603,17.426234441007537
WTI Oil,PatchTST,LGBM,13.111788277961475,12.533827400559206,17.370355151658437,18.074025432002404
